Section,Primary source,Huzaifa,Punar
D.2.1,• Mandatory,0,0
D.2.1,1. creationInfo,1,0
D.2.1,"2. element (may be multiple), MUST have at least one /Core/Sbom object",1,1
D.2.1,"3. rootElement (may be multiple), SHOULD be objects of type /Core/Sbom",1,1
D.2.1,4. spdxId,1,0
D.2.1,• Recommended,0,1
D.2.1,1. comment,1,1
D.2.1,2. dataLicense,1,1
D.2.1,3. name,1,1
D.2.1,4. namespaceMap (may be multiple),1,1
D.2.1,"5. verifiedUsing (may be multiple), SHOULD be objects of type /Core/Hash",1,1
D.2.3,• Mandatory:,0,0
D.2.3,1. copyrightText,1,0
D.2.3,2. creationInfo,1,0
D.2.3,3. name,1,0
D.2.3,4. packageVersion,1,0
D.2.3,5. spdxId,1,0
D.2.3,"6. suppliedBy, SHOULD be an object of type /Core/Agent",1,1
D.2.3,Recommended,0,0
D.2.3,1. attributionText (may be multiple),1,1
D.2.3,2. builtTime,1,1
D.2.3,3. comment,1,1
D.2.3,4. downloadLocation,1,1
D.2.3,5. homepage,1,1
D.2.3,"6. originatedBy (may be multiple), SHOULD be objects of type /Core/Agent",1,1
D.2.3,7. packageUrl,1,1
D.2.3,8. releaseTime,1,1
D.2.3,9. supportLevel (may be multiple),1,1
D.2.3,10. validUntilTime,1,1
D.2.3,"11. verifiedUsing (may be multiple), SHOULD be objects of type /Core/Hash",1,1
D.2.3,"However, there MUST be at least a “downloadLocation” or “packageUrl” property.",1,1
D.2.3,Additionally:,0,0
D.2.3,"1. for every /Software/Package object MUST exist exactly one /Core/Relationship object of type hasConcludedLicense
having that element as its from property and an /SimpleLicensing/AnyLicenseInfo as its to property.
",1,1
D.2.3,"2. for every /Software/Package object MUST exist exactly one /Core/Relationship object of type hasDeclaredLicense
having that element as its from property and /SimpleLicensing/AnyLicenseInfo object as its to property",1,1
D.2.4,• Mandatory,0,0
D.2.4,1. algorithm,1,0
D.2.4,2. hashValue,1,0
D.2.4,• Recommended,0,0
D.2.4,1. comment,1,1
5.2,"Since the data model is based on RDF, any SPDX data can be serialized in any of the multiple RDF serialization formats,
including but not limited to:",0,0
5.2,• JSON-LD format as defined in JSON-LD 1.1;,0,0
5.2,• Turtle (Terse RDF Triple Language) format as defined in RDF 1.1 Turtle;,0,0
5.2,• N-Triples format as defined in RDF 1.1 N-Triples; and,0,0
5.2,• RDF/XML format as defined in RDF 1.1 XML Syntax.,0,0
5.2,"The SPDX specification is accompanied by a JSON-LD context definition file that can be used to serialize SPDX in a
much simpler and more human-readable JSON-LD format.",0,0
5.3,"Canonical serialization is a single, consistent, normalized, deterministic, and reproducible form.",0,0
5.3,Such a canonical form normalizes things like ordering and formatting.,0,0
5.3,"The content of the canonical serialization is exactly the same as the JSON-LD serialization of RDF data (see 4.2), just
represented in a consistent way.",0,0
5.3,"Canonical serialization is in JSON format, as defined in RFC 8259 (IETF STD 90), with the following additional charac-
teristics:",1,0
5.3,• No line breaks,1,0
5.3,• Key names MUST be wrapped in double quotes,1,1
5.3,• No whitespace outside of strings,1,0
5.3,"• true, false and null: the literal names must be lowercase; no other literal names are allowed",1,1
5.3,• Integers: represented in base 10 using decimal digits.,1,1
5.3,This designates an integer component that may be pre-fixed with an optional minus sign.,0,1
5.3,Leading zeros are not allowed.,1,0
5.3,• Strings: UTF-8 representation without specific canonicalisation.,1,0
5.3,A string begins and ends with quotation marks (%x22).,1,0
5.3,"Any Unicode characters may be placed within the quotation marks, except for the two characters that MUST be escaped by a reverse solidus: quotation mark, reverse solidus, and the control characters (U+0000 through U+001F).",1,1
5.3,• Arrays: An array structure is represented as square brackets surrounding zero or more items. Items are separated by commas.,1,0
5.3,• Objects: An object structure is represented as a pair of curly brackets surrounding zero or more name/value pairs (or members). ,1,0
5.3,A name is a string containing only ASCII characters (0x21-0x7F).,0,0
5.3,The names within an object must be unique.,1,1
5.3,"A single colon comes after each name, separating the name from the value.",0,0
5.3,A single comma separates a value from a following name.,0,0
5.3,The name/value pairs are ordered by name.,0,0
5.5.1,"JSON-LD contexts allow JSON documents to use simple, human-readable, locally defined terms while ensuring data
interoperability across different systems.",0,0
5.5.1,"The SPDX global JSON-LD context file must be used universally for all SPDX documents in JSON-LD format that adhere
to a specific SPDX version.",1,1
5.5.1,SPDX global JSON-LD context file is available at: https://spdx.org/rdf/3.0.1/spdx-context.jsonld,1,0
5.5.1,"All SPDX documents in JSON-LD format must include a reference to the SPDX global context file at the top level. This
reference is achieved using the following JSON construct:
""@context"": ""https://spdx.org/rdf/3.0.1/spdx-context.jsonld""",1,1
5.5.1,The SPDX context file defines aliases for specific JSON-LD properties to improve compatibility with the SPDX model.,0,0
5.5.1,These aliases are:,0,0
5.5.1,• spdxId: An alias for the @id property.,0,0
5.5.1,• type: An alias for the @type property.,0,0
5.5.1,Additional namespace mappings may be defined within a separate object within the context.,0,1
