Section ID & Heading,Recommendation / Requirement,Normative Keyword,Code,Rationale/Context,Subtheme,Theme
1.1 Goals,Declaring a required minimum set of Baseline Attributes necessary to identify Components with sufficient relative uniqueness,REQUIRED,Defining Baseline Attributes,Minimum attributes needed for unique component identification,Foundational Principles,Foundational Principles
1.1 Goals,"identifying supplemental, optional Attributes and external elements beyond the baseline set to serve a variety of SBOM applications",OPTIONAL,Supporting Supplemental Attributes,Optional attributes can support diverse use cases,Foundational Principles,Foundational Principles
2 What is an SBOM?,An SBOM’s inventory should be as comprehensive as possible,SHOULD,Ensuring Inventory Comprehensiveness,,Foundational Principles,Foundational Principles
2 What is an SBOM?,An SBOM’s inventory should explicitly state where relationships cannot be articulated,SHOULD,Declaring Relationship Gaps,,Data Completeness & Transparency,Data Governance & Transparency
2 What is an SBOM?,a machine-readable format is critical to support data Consumers to manage this for efficiency and expandability,REQUIRED,Mandating Machine-Readable Formats,,Format & Interoperability,Foundational Principles
2 What is an SBOM?,Choosing a specific data format is an important part of this functionality,SHOULD,Selecting a Specific Data Format,,Format & Interoperability,Foundational Principles
2 What is an SBOM?,Another important aspect is the universal naming of Components,SHOULD,Adopting Universal Naming,,Component Identification,Component & SBOM Attributes
2.1 SBOM Elements,"As a minimum, the Baseline Attributes are required",REQUIRED,Requiring Baseline Attributes,,Foundational Principles,Foundational Principles
2.1 SBOM Elements,Supplemental elements and Attributes can be included to enable SBOM use cases identified later in this document,MAY,Allowing Supplemental Data for Use Cases,,Use Case Enablement,Use Case Enablement
2.2 Baseline Attributes,An SBOM system that follows the guidance and framing proposed in this document must support these Baseline Attributes.,MUST,SBOM system supports baseline attributes,,Format & Interoperability,Foundational Principles
2.2 Baseline Attributes,An SBOM system or format may support supplemental Attributes.,MAY,SBOM system supports supplemental attributes,,Use Case Enablement,Use Case Enablement
2.2.1.1 Author Name,The Author Name Attribute should name as many participants involved in authoring the SBOM data as possible.,SHOULD,List all SBOM authors,,SBOM Metadata,Component & SBOM Attributes
2.2.1.1 Author Name,The tool(s) used to create the SBOM can also be declared to assist in SBOM data consumption.,MAY,Declare SBOM creation tools,,SBOM Metadata,Component & SBOM Attributes
2.2.1.1 Author Name,An SBOM must list the entity that prompted the creation of the SBOM.,MUST,Identifying the Authoring Entity,,SBOM Metadata,Component & SBOM Attributes
2.2.1.1 Author Name,"The Author Name Attribute should include the name of the legal entity and some form of unique identification (e.g., an email address or website) if possible.",SHOULD,Provide legal entity and identifier,,SBOM Metadata,Component & SBOM Attributes
2.2.1.1 Author Name,"If no legal entity name is available, attempt to uniquely identify the SBOM creator along with contact information.",SHOULD,Identify SBOM creator if no entity,,SBOM Metadata,Component & SBOM Attributes
2.2.1.1 Author Name,"In addition to listing the entity that prompted the creation of the SBOM, identify tool(s) and version(s) that assisted the Author in the SBOMs creation.",RECOMMENDED,Specifying Authoring Tool & Version,,SBOM Metadata,Component & SBOM Attributes
2.2.1.2 Timestamp,"As a minimum expectation, the Timestamp should be consistent across time zones and locales and use a common international format, such as ISO 8601 (e.g., 2024-05-23T13:51:37Z).",SHOULD,Use ISO-8601 timestamp,,SBOM Metadata,Component & SBOM Attributes
2.2.1.3 Type,This Attribute is optional and considered an aspirational goal.,OPTIONAL,Including SBOM Type,,SBOM Metadata,Component & SBOM Attributes
2.2.2 Component Attributes,"For each Component in the SBOM, identifying each Attribute should be attempted as indicated in the data maturity levels.",SHOULD,Populate all component attributes adhering to Maturity Levels,,Foundational Principles,Foundational Principles
