class_name,max_depth,path
metadata,1,metadata
lifecycle,2,metadata -> lifecycle
tools,2,metadata -> tools
toolsLegacy,2,metadata -> toolsLegacy
tool,3,metadata -> toolsLegacy -> tool
hash,10,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> energyProvider -> externalReference -> hash
organizationalEntity,9,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> energyProvider -> organizationalEntity
organizationalContact,10,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> energyProvider -> organizationalEntity -> organizationalContact
organizationAddress,10,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> energyProvider -> organizationalEntity -> organizationAddress
property,8,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> property
component,3,declarations -> targets -> component
service,3,declarations -> targets -> service
externalReference,9,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> energyProvider -> externalReference
dependency,4,formula -> workflow -> task -> dependency
composition,1,composition
vulnerability,1,vulnerability
annotation,1,annotation
formula,1,formula
declarations,1,declarations
definitions,1,definitions
vulnerabilitySource,3,vulnerability -> rating -> vulnerabilitySource
vulnerabilityReference,2,vulnerability -> vulnerabilityReference
rating,2,vulnerability -> rating
advisory,2,vulnerability -> advisory
credits,2,vulnerability -> credits
impactAnalysis,2,vulnerability -> impactAnalysis
affect,2,vulnerability -> affect
signature,4,declarations -> targets -> component -> signature
releaseNotes,4,declarations -> targets -> component -> releaseNotes
note,5,declarations -> targets -> component -> releaseNotes -> note
modelCard,4,declarations -> targets -> component -> modelCard
modelParameters,5,declarations -> targets -> component -> modelCard -> modelParameters
approach,6,declarations -> targets -> component -> modelCard -> modelParameters -> approach
inlineDataInformation,6,declarations -> targets -> component -> modelCard -> modelParameters -> inlineDataInformation
dataReference,6,declarations -> targets -> component -> modelCard -> modelParameters -> dataReference
graphicsCollection,7,declarations -> targets -> component -> modelCard -> modelParameters -> inlineDataInformation -> graphicsCollection
graphic,8,declarations -> targets -> component -> modelCard -> modelParameters -> inlineDataInformation -> graphicsCollection -> graphic
dataGovernance,7,declarations -> targets -> component -> modelCard -> modelParameters -> inlineDataInformation -> dataGovernance
governanceParty,8,declarations -> targets -> component -> modelCard -> modelParameters -> inlineDataInformation -> dataGovernance -> governanceParty
ioParameter,6,declarations -> targets -> component -> modelCard -> modelParameters -> ioParameter
quantitativeAnalysis,5,declarations -> targets -> component -> modelCard -> quantitativeAnalysis
performanceMetric,6,declarations -> targets -> component -> modelCard -> quantitativeAnalysis -> performanceMetric
confidenceInterval,7,declarations -> targets -> component -> modelCard -> quantitativeAnalysis -> performanceMetric -> confidenceInterval
considerations,5,declarations -> targets -> component -> modelCard -> considerations
ethicalConsideration,6,declarations -> targets -> component -> modelCard -> considerations -> ethicalConsideration
fairnessAssessment,6,declarations -> targets -> component -> modelCard -> considerations -> fairnessAssessment
environmentalConsiderations,6,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations
energyConsumption,7,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption
energyProvider,8,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> energyProvider
energyMeasure,9,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> energyProvider -> energyMeasure
co2Measure,8,declarations -> targets -> component -> modelCard -> considerations -> environmentalConsiderations -> energyConsumption -> co2Measure
componentData,4,declarations -> targets -> component -> componentData
securedBy,4,declarations -> targets -> component -> securedBy
cipherSuite,4,declarations -> targets -> component -> cipherSuite
