Section ID & Heading,Recommendation / Requirement,Normative Keyword,Subtheme
2.2 Implementation Conformance,A consumer must interpret and process the contents of CycloneDX BOMs in a manner conforming to this standard.,REQUIRED,Specification Conformance
2.2 Implementation Conformance,A consumer should instantiate a warning or error condition when a CycloneDX BOM is not conforming to this standard. ,RECOMMENDED,Specification Conformance
2.2 Implementation Conformance,A consumer must not instantiate an error condition in response to a CycloneDX BOM conforming to this standard.,REQUIRED,Specification Conformance
2.2 Implementation Conformance,"When optional or recommended features contained within CycloneDX BOMs are accessed by a consumer, the consumer must interpret and process those features in a manner conforming to this standard.",REQUIRED,Specification Conformance
2.2 Implementation Conformance,Any CycloneDX BOM a producer creates must conform to this standard.,REQUIRED,Specification Conformance
2.2 Implementation Conformance,A producer must not introduce any non-conforming CycloneDX content when modifying or enriching a CycloneDX BOM.,REQUIRED,Specification Conformance
2.2 Implementation Conformance,"When a producer chooses to use an optional or recommended feature in an CycloneDX BOM, then the producer must create or modify that feature in a manner conforming to this standard.",REQUIRED,Specification Conformance
5.2 High-Level SBOM Use Cases,SBOMs should ideally contain all direct and transitive components and the dependency relationships between them.,RECOMMENDED,Dependency Graph Representation
5.3.1 Software Bill of Materials (SBOM),SBOMs should ideally contain all direct and transitive components and the dependency relationships between them.,RECOMMENDED,Dependency Graph Representation
5.4.1.1 Serial Number,"Every BOM generated should have a unique serial number, even if the contents of the BOM have not changed over time.",RECOMMENDED,BOM Identification
5.4.1.1 Serial Number,"If specified, the serial number must conform to RFC-4122.",REQUIRED,BOM Identification
5.4.1.1 Serial Number,The use of serial numbers is recommended.,RECOMMENDED,BOM Identification
5.4.1.2 Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM should be incremented by 1.",RECOMMENDED,BOM Identification
5.4.1.2 Version,"When a system is presented with multiple BOMs with identical serial numbers, the system should use the most recent version of the BOM.",RECOMMENDED,BOM Identification
6 CycloneDX Bill of Materials Standard,The bomFormat property is Required.,REQUIRED,BOM Format and Versioning
6 CycloneDX Bill of Materials Standard,"The value of bomFormat must be ""CycloneDX"".",REQUIRED,BOM Format and Versioning
6 CycloneDX Bill of Materials Standard,The specVersion property is Required.,REQUIRED,BOM Format and Versioning
6 CycloneDX Bill of Materials Standard,The serialNumber property is Optional.,MAY,BOM Identification
6 CycloneDX Bill of Materials Standard,"Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time.",RECOMMENDED,BOM Identification
6 CycloneDX Bill of Materials Standard,"If specified, the serial number must conform to RFC 4122.",REQUIRED,BOM Identification
6 CycloneDX Bill of Materials Standard,Use of serial numbers is recommended.,RECOMMENDED,BOM Identification
6 CycloneDX Bill of Materials Standard,The version property is Optional.,MAY,BOM Identification
6 CycloneDX Bill of Materials Standard,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1.",RECOMMENDED,BOM Identification
6 CycloneDX Bill of Materials Standard,"When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM.",RECOMMENDED,BOM Identification
6 CycloneDX Bill of Materials Standard,The metadata property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The components property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The services property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The externalReferences property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The dependencies property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The compositions property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The vulnerabilities property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The annotations property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The formulation property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The declarations property is Optional.,MAY,Root Object Model
6 CycloneDX Bill of Materials Standard,The definitions property is Optional.,MAY,Root Object Model
6.1 BOM Format,The bomFormat property is Required.,REQUIRED,BOM Format and Versioning
6.1 BOM Format,"The value of bomFormat must be ""CycloneDX"".",REQUIRED,BOM Format and Versioning
6.2 CycloneDX Specification Version,The specVersion property is Required.,REQUIRED,BOM Format and Versioning
6.3 BOM Serial Number,The serialNumber property is Optional.,MAY,BOM Identification
6.3 BOM Serial Number,"Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time.",RECOMMENDED,BOM Identification
6.3 BOM Serial Number,"If specified, the serial number must conform to RFC 4122.",REQUIRED,BOM Identification
6.3 BOM Serial Number,Use of serial numbers is recommended.,RECOMMENDED,BOM Identification
6.4 BOM Version,The version property is Optional.,MAY,BOM Identification
6.4 BOM Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1.",RECOMMENDED,BOM Identification
6.4 BOM Version,"When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM.",RECOMMENDED,BOM Identification
7 BOM Metadata,The metadata property is Optional.,MAY,BOM Metadata
7 BOM Metadata,The tools property is Optional.,MAY,BOM Metadata
7 BOM Metadata,The manufacturer property is Optional.,MAY,BOM Metadata
7 BOM Metadata,The authors property is Optional.,MAY,BOM Metadata
7 BOM Metadata,The component property is Optional.,MAY,BOM Metadata
7 BOM Metadata,The manufacture property is Optional and Deprecated.,MAY,BOM Metadata
7 BOM Metadata,The supplier property is Optional.,MAY,BOM Metadata
7 BOM Metadata,The licenses property is Optional.,MAY,BOM Metadata
7.1 Timestamp,The timestamp property is Optional.,MAY,Timestamping
7.2 Lifecycles,The lifecycles property is Optional.,MAY,Lifecycle Information
7.2 Lifecycles,Each item of this array must be a Lifecycle object.,REQUIRED,Lifecycle Information
7.2.1 Lifecycle,The Lifecycle object Must be one of: Pre-Defined Phase.,REQUIRED,Lifecycle Information
7.2.1 Lifecycle,The Lifecycle object Must be one of: Custom Phase.,REQUIRED,Lifecycle Information
7.2.2 Pre-Defined Phase,The phase property is Required.,REQUIRED,Lifecycle Information
7.2.3 Custom Phase,The name property is Required.,REQUIRED,Lifecycle Information
7.2.3 Custom Phase,The description property is Optional.,MAY,Lifecycle Information
7.2.4 Phase,The lifecycles property is Required.,REQUIRED,Lifecycle Information
7.2.5 Name,The lifecycles property is Required.,REQUIRED,Lifecycle Information
7.2.6 Description,The lifecycles property is Optional.,MAY,Lifecycle Information
7.3 Tools,The tools property is Optional.,MAY,Tooling Information
7.3 Tools,The tools object Must be one of: Tools.,REQUIRED,Tooling Information
7.3 Tools,The tools object Must be one of: Tools (legacy).,REQUIRED,Tooling Information
