initial_code,count,percent
bom_ref_identity_links,261,15.1
cryptographic_asset_modeling,220,12.8
formulation_build_evidence,151,8.8
entity_provenance_population,108,6.3
vulnerability_record_population,107,6.2
data_governance_modeling,84,4.9
hash_integrity_population,76,4.4
attestation_declaration_modeling,76,4.4
contact_provenance_population,65,3.8
extension_property_population,65,3.8
property_taxonomy_normalization,48,2.8
external_reference_population,46,2.7
component_descriptive_metadata,37,2.1
license_copyright_population,36,2.1
identifier_normalization,36,2.1
pedigree_population,35,2.0
tool_metadata_population,26,1.5
annotation_population,24,1.4
dependency_graph_population,23,1.3
evidence_population,21,1.2
bom_document_identity,19,1.1
signature_integrity_population,19,1.1
component_service_identity,18,1.0
vex_analysis_semantics,18,1.0
ml_model_card_modeling,17,1.0
completeness_assertion,16,0.9
root_object_population,14,0.8
field_level_constraint,10,0.6
document_metadata_population,9,0.5
component_service_population,9,0.5
implementation_conformance,7,0.4
bom_format_versioning,6,0.3
component_service_typing,6,0.3
component_nesting,5,0.3
scope_runtime_semantics,4,0.2
timestamp_population,2,0.1
