id,section,requirement,normative_force,initial_code,subtheme,theme,generator_consumer_axis,issue_focus,previous_single_subtheme
CDX-0001,2.2 Implementation Conformance,A consumer must interpret and process the contents of CycloneDX BOMs in a manner conforming to this standard.,REQUIRED,implementation_conformance,Document structure and conformance,Structural conformance and validation,consumer-interpretation; shared-validation,downstream-use,Specification Conformance
CDX-0002,2.2 Implementation Conformance,A consumer should instantiate a warning or error condition when a CycloneDX BOM is not conforming to this standard. ,RECOMMENDED,implementation_conformance,Document structure and conformance,Structural conformance and validation,consumer-interpretation; shared-validation,downstream-use,Specification Conformance
CDX-0003,2.2 Implementation Conformance,A consumer must not instantiate an error condition in response to a CycloneDX BOM conforming to this standard.,REQUIRED,implementation_conformance,Document structure and conformance,Structural conformance and validation,consumer-interpretation; shared-validation,downstream-use,Specification Conformance
CDX-0004,2.2 Implementation Conformance,"When optional or recommended features contained within CycloneDX BOMs are accessed by a consumer, the consumer must interpret and process those features in a manner conforming to this standard.",REQUIRED,implementation_conformance,Document structure and conformance,Structural conformance and validation,consumer-interpretation; shared-validation,downstream-use,Specification Conformance
CDX-0005,2.2 Implementation Conformance,Any CycloneDX BOM a producer creates must conform to this standard.,REQUIRED,implementation_conformance,Document structure and conformance,Structural conformance and validation,consumer-interpretation; shared-validation,downstream-use,Specification Conformance
CDX-0006,2.2 Implementation Conformance,A producer must not introduce any non-conforming CycloneDX content when modifying or enriching a CycloneDX BOM.,REQUIRED,implementation_conformance,Document structure and conformance,Structural conformance and validation,consumer-interpretation; shared-validation,downstream-use,Specification Conformance
CDX-0007,2.2 Implementation Conformance,"When a producer chooses to use an optional or recommended feature in an CycloneDX BOM, then the producer must create or modify that feature in a manner conforming to this standard.",REQUIRED,implementation_conformance,Document structure and conformance,Structural conformance and validation,consumer-interpretation; shared-validation,downstream-use,Specification Conformance
CDX-0008,5.2 High-Level SBOM Use Cases,SBOMs should ideally contain all direct and transitive components and the dependency relationships between them.,RECOMMENDED,dependency_graph_population,Dependency and assembly semantics,Dependency and downstream-use semantics,downstream-use,dependencies,Dependency Graph Representation
CDX-0009,5.3.1 Software Bill of Materials (SBOM),SBOMs should ideally contain all direct and transitive components and the dependency relationships between them.,RECOMMENDED,dependency_graph_population,Dependency and assembly semantics,Dependency and downstream-use semantics,downstream-use,dependencies,Dependency Graph Representation
CDX-0010,5.4.1.1 Serial Number,"Every BOM generated should have a unique serial number, even if the contents of the BOM have not changed over time.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
