Section ID & Heading,Primary Unit Text,Abdullah,NotebookLM
5.4 CycloneDX Object Model,"Within the root element, CycloneDX defines the following object types:",0,0
5.4 CycloneDX Object Model,The object types are arranged in order and contain (but are not limited to) the following types of data:,0,0
5.4.1 BOM Identity,The bom element has properties for serialNumber and version.,0,0
5.4.1 BOM Identity,Together these two properties form the identity of a BOM.,0,0
5.4.1 BOM Identity,"A BOM's identity can be expressed using a BOM-Link, a formally registered URN capable of referencing a BOM or any component, service, or vulnerability in a BOM.",0,0
5.4.1 BOM Identity,Refer to the chapter on Relationships for more information.,0,0
5.4.1.1 Serial Number,"Every BOM generated should have a unique serial number, even if the contents of the BOM have not changed over time.",1,1
5.4.1.1 Serial Number,"If specified, the serial number must conform to RFC-4122.",1,1
5.4.1.1 Serial Number,The use of serial numbers is recommended.,1,1
5.4.1.2 Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM should be incremented by 1.",1,1
5.4.1.2 Version,"When a system is presented with multiple BOMs with identical serial numbers, the system should use the most recent version of the BOM.",1,1
5.4.1.2 Version,The default version is '1'.,0,0
5.4.2 The Anatomy of a CycloneDX BOM,The following are descriptions of the root-level elements of a CycloneDX BOM.,0,0
5.4.2.1 Metadata,"BOM metadata includes the supplier, manufacturer, and target component for which the BOM describes.",0,0
5.4.2.1 Metadata,"It also includes the tools used to create the BOM, and licence information for the BOM document itself.",0,0
5.4.2.2 Components,Components describe the complete inventory of first-party and third-party components.,0,0
5.4.2.2 Components,"The specification can represent software, hardware devices, machine learning models, source code, and configurations, along with the manufacturer information, licence and copyright details, and complete pedigree and provenance for every component.",1,0
5.4.2.3 Services,Services represent external APIs that the software may call.,0,0
5.4.2.3 Services,"They describe endpoint URIs, authentication requirements, and trust boundary traversals.",0,0
5.4.2.3 Services,"The data flow between software and services can also be described, including the data classifications and the flow direction of each type.",0,0
5.4.2.4 Dependencies,CycloneDX provides the ability to describe components and their dependency on other components.,0,0
5.4.2.4 Dependencies,The dependency graph is capable of representing both direct and transitive relationships.,0,0
